RevisionColumn,Units,periods,GenderID,ValueColumn
"r_43","perc","2014Q2","2","5.8"
"r_43","perc","2014Q3","0","6.6"
"r_43","perc","2014Q3","1","7.4"
"r_43","perc","2014Q3","2","5.7"
"r_43","perc","2014Q4","0","6.8"
"r_43","perc","2014Q4","1","7.7"
"r_43","perc","2014Q4","2","5.8"
"r_43","perc","2015Q1","0","6.3"
"r_43","perc","2015Q1","1","6.7"
"r_43","perc","2015Q1","2","5.7"
"r_43","perc","2015Q2","0","6.2"
"r_43","perc","2015Q2","1","7"
"r_43","perc","2015Q2","2","5.4"
"r_43","perc","2015Q3","0","5.2"
"r_43","perc","2015Q3","1","5.7"
"r_43","perc","2015Q3","2","4.6"
"r_43","perc","2015Q4","0","4.7"
"r_43","perc","2015Q4","1","5"
"r_43","perc","2015Q4","2","4.4"
"r_43","perc","2016Q1","0","4.8"
"r_43","perc","2016Q1","1","5.1"
"r_43","perc","2016Q1","2","4.5"
"r_43","perc","2016Q2","0","4.9"
"r_43","perc","2016Q2","1","5.3"
"r_43","perc","2016Q2","2","4.4"
"r_43","perc","2016Q3","0","4.3"
"r_43","perc","2016Q3","1","4.7"
"r_43","perc","2016Q3","2","3.9"
"r_43","perc","2016Q4","0","3.9"
"r_43","perc","2016Q4","1","4"
"r_43","perc","2016Q4","2","3.7"
"r_43","perc","2017Q1","0","3.7"
"r_43","perc","2017Q1","1","3.9"
"r_43","perc","2017Q1","2","3.6"
"r_43","perc","2017Q2","0","3.5"
"r_43","perc","2017Q2","1","4.1"
"r_43","perc","2017Q2","2","2.9"
"r_43","perc","2017Q3","0","3.1983604071157927"
"r_43","perc","2017Q3","1","3.252873482010141"
"r_43","perc","2017Q3","2","3.1356524283363134"
"r_43","perc","2017Q4","0","3.1"
"r_43","perc","2017Q4","1","3.2"
"r_43","perc","2017Q4","2","3.1"
"r_43","perc","2018Q1","0","3"
"r_43","perc","2018Q1","1","3.5"
"r_43","perc","2018Q1","2","2.5"
"r_43","perc","2018Q2","0","3.2"
"r_43","perc","2018Q2","1","3.7"
"r_43","perc","2018Q2","2","2.6"
"r_43","perc","2018Q3","0","3.1"
"r_43","perc","2018Q3","1","3.4"
"r_43","perc","2018Q3","2","2.8"
"r_43","perc","2018Q4","0","2.9"
"r_43","perc","2018Q4","1","3.1"
"r_43","perc","2018Q4","2","2.7"
"r_43","perc","2019Q1","0","2.6"
"r_43","perc","2019Q1","1","2.9"
"r_43","perc","2019Q1","2","2.3"
"r_43","perc","2019Q2","0","2.5"
"r_43","perc","2019Q2","1","2.7"
"r_43","perc","2019Q2","2","2.2"
"r_43","perc","2019Q3","0","2.3"
"r_43","perc","2019Q3","1","2.5"
"r_43","perc","2019Q3","2","2.1"
"r_43","perc","2019Q4","0","2.2"
"r_43","perc","2019Q4","1","2.3"
"r_43","perc","2019Q4","2","2.1"
"r_43","perc","2020Q1","0","2.3"
"r_43","perc","2020Q1","1","2.6"
"r_43","perc","2020Q1","2","1.9"
"r_43","perc","2020Q2","0","2.2"
"r_43","perc","2020Q2","1","2.6"
"r_43","perc","2020Q2","2","1.7"
"r_43","perc","2020Q3","0","2.2"
"r_43","perc","2020Q3","1","2.4"
"r_43","perc","2020Q3","2","1.9"
"r_43","perc","2020Q4","0","2.6"
"r_43","perc","2020Q4","1","2.6"
"r_43","perc","2020Q4","2","2.5"
"r_43","perc","2021Q1","0","2.7"
"r_43","perc","2021Q1","1","2.7"
"r_43","perc","2021Q1","2","2.7"
"r_43","perc","2021Q2","0","2.8"
"r_43","perc","2021Q2","1","2.8"
"r_43","perc","2021Q2","2","2.8"
"r_43","perc","2021Q3","0","2.3"
"r_43","perc","2021Q3","1","2.6"
"r_43","perc","2021Q3","2","2"
"r_43","perc","2021Q4","0","2.4"
"r_43","perc","2021Q4","1","2.7"
"r_43","perc","2021Q4","2","2.1"
"r_43","perc","2022Q1","0","2.4"
"r_43","perc","2022Q1","1","2.7"
"r_43","perc","2022Q1","2","2.1"
"r_43","perc","2022Q2","0","2.6"
"r_43","perc","2022Q2","1","2.7"
"r_43","perc","2022Q2","2","2.4"
"r_43","perc","2022Q3","0","2"
"r_43","perc","2022Q3","1","2.2"
"r_43","perc","2022Q3","2","1.8"
"r_43","perc","2022Q4","0","2"
"r_43","perc","2022Q4","1","2.1"
"r_43","perc","2022Q4","2","1.9"
"r_43","perc","2023Q1","0","2.3"
"r_43","perc","2023Q1","1","2.6"
"r_43","perc","2023Q1","2","1.9"
"r_43","perc","2023Q2","0","2.4"
"r_43","perc","2023Q2","1","2.5"
"r_43","perc","2023Q2","2","2.3"
"r_43","perc","2023Q3","0","2.1"
"r_43","perc","2023Q3","1","2.2"
"r_43","perc","2023Q3","2","2.1"
"r_43","perc","2023Q4","0","2.2"
"r_43","perc","2023Q4","1","2.2"
"r_43","perc","2023Q4","2","2.2"
"r_43","perc","2024Q1","0","2.6"
"r_43","perc","2024Q1","1","2.6"
"r_43","perc","2024Q1","2","2.5"
"r_43","perc","2024Q2","0","2.2"
"r_43","perc","2024Q2","1","2.3"
"r_43","perc","2024Q2","2","2.2"
"r_43","perc","2024Q3","0","1.9"
"r_43","perc","2024Q3","1","2"
"r_43","perc","2024Q3","2","1.8"
"r_43","perc","2024Q4","0","1.9"
"r_43","perc","2024Q4","1","2"
"r_43","perc","2024Q4","2","1.7"
"r_43","perc","2025Q1","0","1.6"
"r_43","perc","2025Q1","1","1.5"
"r_43","perc","2025Q1","2","1.8"
"r_43","perc","2025Q2","0","1.5"
"r_43","perc","2025Q2","1","1.7"
"r_43","perc","2025Q2","2","1.4"
"r_43","perc","2025Q3","0","1.4"
"r_43","perc","2025Q3","1","1.7"
"r_43","perc","2025Q3","2","1.1"
